编号,名称,价格,类型,地址
1,荣耀50,2898,手机,深圳
2,vivo X60,2899,手机,深圳
3,小米11,3599,手机,广州
4,小米 MIX4 ,4999,手机,深圳
5,Redmi K40,2499,手机,广州
6,荣耀 Magic3 Pro,5999,手机,广州
7, 荣耀 Magic3 ,4999,手机,广州
8,血战长津湖 ,49.9,图书,南京
9,世说新语,19.8,图书,北京
10,昆虫记,26.1,图书,南京
11,老人与海,5,图书,南京
12,鲁滨孙漂流记,5,图书,南京
13,朝花夕拾,11,图书,杭州
14,小王子,25,图书,南京
15,复活,16.8,图书,上海
16,百年孤独,38.8,图书,上海
17,大卫科波菲尔,24.8,图书,上海
18,乡土中国,9.8,图书,上海
19,小英雄雨来,11.8,图书,上海
20,绿野仙踪,5,图书,南京
21,黛丝恩洗发水,328,个护,上海
22,施华蔻无硅油洗发水,78,个护,泉州
23,沙宣高端洗发露,69.9,个护,泉州
24,巴黎欧莱雅生姜洗发水,344,个护,苏州
25,清扬去屑洗发露,54.9,个护,上海
26,日本潘婷洗发水,119,个护,广州
27,谷雨洗面奶,98.9,个护,广州
28,旁氏洗面奶,46,个护,泉州
29,多芬水嫩洁面慕斯,79,个护,泉州
30,多芬红石榴发酵沐浴露,79.9,个护,泉州
31,舒肤佳沐浴露,89.9,个护,泉州
32,纪梵希四宫格散粉,550,彩妆,嘉兴
33,魅可柔光散粉,290,彩妆,嘉兴
34,植村秀粉底液,440,彩妆,苏州
35,YSL恒颜无瑕恒久粉底液,600,彩妆,苏州
36,雅诗兰黛口红倾慕,290,彩妆,上海
37,阿玛尼红管唇釉,310,彩妆,苏州
38,稚优泉丝雾口红,79.9,彩妆,上海
39,完美日记名片唇釉,69.9,彩妆,广州
40,兰蔻菁纯唇釉,300,彩妆,苏州
41,香奈儿炫亮魅力唇膏,350,彩妆,杭州
42,纪梵希高定香榭粉丝绒口红,360,彩妆,嘉兴
43,欧莱雅绒雾唇霜,175,彩妆,苏州
44,TOM FORD唇膏,460,彩妆,嘉兴
45,橘朵敦煌联名20色眼影,148,彩妆,上海
46,三熹玉九宫格眼影盘,195,彩妆,东莞
47,悦暮印象眼影盘,25,彩妆,苏州
48,花西子极细三角眉笔,69,彩妆,杭州
49,日本资生堂六角眉笔,16.8,彩妆,深圳
50,unny腮红膏,29.9,彩妆,沧州
